Wavenumber,Intensity,Class
558.7366,14.02999,0
559.2187,13.80026,0
559.7008,13.73109,0
560.1829,13.78154,0
560.665,13.84833,0
561.1472,14.09504,0
561.6293,14.29582,0
562.1114,14.32204,0
562.5935,14.15842,0
563.0756,14.12725,0
563.5577,14.29402,0
564.0399,14.43512,0
564.522,14.42974,0
565.0041,14.31177,0
565.4862,14.27745,0
565.9683,14.32695,0
566.4504,14.37349,0
566.9326,14.35372,0
567.4147,14.27503,0
567.8968,14.16798,0
568.3789,14.04251,0
568.861,13.93622,0
569.3431,13.82732,0
569.8253,13.74744,0
570.3074,13.78228,0
570.7895,13.97784,0
571.2716,14.13781,0
571.7537,14.08932,0
572.2358,13.96473,0
572.718,13.91229,0
573.2001,14.02038,0
573.6822,14.10268,0
574.1643,14.08274,0
574.6464,14.0082,0
575.1285,13.94482,0
575.6107,13.9555,0
576.0928,14.02149,0
576.5749,14.17535,0
577.057,14.30808,0
577.5391,14.31829,0
578.0212,14.20787,0
578.5034,14.13069,0
578.9855,14.12684,0
579.4676,14.1674,0
579.9497,14.1879,0
580.4318,14.19462,0
580.9139,14.23917,0
581.3961,14.34498,0
581.8782,14.45221,0
582.3603,14.50083,0
582.8424,14.5161,0
583.3245,14.52244,0
583.8066,14.53454,0
584.2888,14.51291,0
584.7709,14.39467,0
585.253,14.20091,0
585.7351,14.07335,0
586.2172,14.06184,0
586.6993,14.11717,0
587.1815,14.25276,0
587.6636,14.4934,0
588.1457,14.61562,0
588.6278,14.53825,0
589.1099,14.45152,0
589.592,14.47682,0
590.0742,14.61909,0
590.5563,14.62514,0
591.0384,14.46393,0
591.5205,14.30986,0
592.0026,14.26679,0
592.4847,14.31015,0
592.9669,14.41482,0
593.449,14.59322,0
593.9311,14.71148,0
594.4132,14.5603,0
594.8953,14.28465,0
595.3774,14.1349,0
595.8596,14.16887,0
596.3417,14.24133,0
596.8238,14.29448,0
597.3059,14.32064,0
597.788,14.30306,0
598.2701,14.24321,0
598.7523,14.1433,0
599.2344,13.91659,0
599.7165,13.68418,0
600.1986,13.6161,0
600.6807,13.82867,0
601.1628,13.99488,0
601.645,14.08548,0
602.1271,14.11634,0
602.6092,14.11709,0
603.0913,14.08607,0
603.5734,14.03588,0
604.0555,13.95331,0
604.5377,13.87405,0
605.0198,13.89088,0
605.5019,13.97954,0
605.984,14.02116,0
606.4661,13.93133,0
606.9482,13.83162,0
607.4304,13.89677,0
607.9125,14.06342,0
608.3946,14.18056,0
608.8767,14.14992,0
609.3588,14.08428,0
609.8409,14.03035,0
610.3231,13.98704,0
610.8052,13.94606,0
611.2873,13.85869,0
611.7694,13.8262,0
612.2515,13.88385,0
612.7336,14.02635,0
613.2158,14.20184,0
613.6979,14.4655,0
614.18,14.61791,0
614.6621,14.54058,0
615.1442,14.28733,0
615.6263,14.16992,0
616.1085,14.18434,0
616.5906,14.20457,0
617.0727,14.16147,0
617.5548,14.08421,0
618.0369,14.00846,0
618.519,13.94642,0
619.0012,13.92712,0
619.4833,14.02759,0
619.9654,14.12361,0
620.4475,14.09261,0
620.9296,13.93707,0
621.4117,13.84612,0
621.8939,13.96627,0
622.376,14.1108,0
622.8581,14.13996,0
623.3402,14.00023,0
623.8223,13.92937,0
624.3044,13.97353,0
624.7866,14.05276,0
625.2687,14.10581,0
625.7508,14.13038,0
626.2329,14.16362,0
626.715,14.2123,0
627.1971,14.25632,0
627.6793,14.24593,0
628.1614,14.19134,0
628.6435,14.15115,0
629.1256,14.14173,0
629.6077,14.1323,0
630.0898,14.06931,0
630.572,14.00373,0
631.0541,14.0103,0
631.5362,14.10278,0
632.0183,14.15467,0
632.5004,14.03572,0
632.9825,13.94338,0
633.4647,13.97466,0
633.9468,14.24604,0
634.4289,14.32642,0
634.911,14.13276,0
635.3931,13.93844,0
635.8752,13.84131,0
636.3574,13.83421,0
636.8395,13.85439,0
637.3216,13.98767,0
637.8037,14.16413,0
638.2858,14.27727,0
638.7679,14.32285,0
639.2501,14.27929,0
639.7322,14.10505,0
640.2143,13.92175,0
640.6964,13.91182,0
641.1785,14.01264,0
641.6606,14.07905,0
